33 chapters, 1314 paragraphs, 176671 chars (core 869) (medium 206) (long 239)
Voice ne-NP-HemkalaNeural  rate -22%  pitch -6Hz  volume -12%

[bedtime] Bedtime: rate -22% pitch -6Hz, one clip per sentence
  ✓ ch02-p22-s02  (19 chars, 16KB)
  ✓ ch02-p23-s00  (31 chars, 22KB)
  ✓ ch02-p22-s00  (30 chars, 23KB)
  ✓ ch02-p22-s01  (64 chars, 37KB)
  ✓ ch02-p25-s00  (42 chars, 26KB)
  ✓ ch02-p24-s00  (50 chars, 32KB)
  ✓ ch02-p23-s01  (107 chars, 72KB)
  ✓ ch02-p24-s01  (66 chars, 40KB)
  ✓ ch02-p25-s02  (19 chars, 17KB)
  ✓ ch02-p25-s01  (33 chars, 24KB)
  ✓ ch02-p26-s00  (34 chars, 31KB)
  ✓ ch02-p26-s01  (31 chars, 23KB)
  ✓ ch02-p27-s00  (27 chars, 19KB)
  ✓ ch02-p28-s00  (24 chars, 19KB)
  ✓ ch02-p27-s01  (59 chars, 39KB)
  ✓ ch02-p28-s01  (33 chars, 24KB)
  ✓ ch02-p28-s02  (22 chars, 19KB)
  ✓ ch02-p29-s00  (33 chars, 23KB)
  ✓ ch02-p30-s00  (77 chars, 45KB)
  ✓ ch02-p29-s01  (66 chars, 40KB)
  ✓ ch02-p31-s00  (78 chars, 47KB)
  ✓ ch02-p30-s01  (46 chars, 31KB)
  ✓ ch02-p31-s01  (64 chars, 40KB)
  ✓ ch02-p32-s00  (14 chars, 16KB)
  ✓ ch02-p32-s01  (44 chars, 31KB)
  ✓ ch03-p00-s00  (33 chars, 24KB)
  ✓ ch03-p00-s02  (47 chars, 32KB)
  ✓ ch03-p00-s01  (33 chars, 24KB)
  ✓ ch03-p01-s02  (16 chars, 17KB)
  ✓ ch03-p01-s00  (40 chars, 34KB)
  ✓ ch03-p02-s00  (31 chars, 24KB)
  ✓ ch03-p01-s01  (32 chars, 24KB)
  ✓ ch03-p02-s01  (67 chars, 42KB)
  ✓ ch03-p04-s00  (30 chars, 21KB)
  ✓ ch03-p02-s02  (56 chars, 36KB)
  ✓ ch03-p03-s00  (43 chars, 29KB)
  ✓ ch03-p03-s01  (59 chars, 37KB)
  ✓ ch03-p04-s01  (29 chars, 22KB)
  ✓ ch03-p04-s02  (29 chars, 21KB)
  ✓ ch03-p04-s04  (46 chars, 27KB)
  ✓ ch03-p04-s03  (54 chars, 34KB)
  ✓ ch03-p05-s02  (30 chars, 22KB)
  ✓ ch03-p05-s01  (50 chars, 32KB)
  ✓ ch03-p05-s00  (34 chars, 24KB)
  ✓ ch03-p05-s03  (34 chars, 23KB)
