28 chapters, 1081 paragraphs, 136920 chars (core 556) (medium 209) (long 316)
Voice ne-NP-SagarNeural  rate -20%  pitch -3Hz  volume -12%

[bedtime] Bedtime: rate -20% pitch -3Hz, one clip per sentence
  ✓ ch03-p31-s03  (18 chars, 17KB)
  ✓ ch03-p24-s01  (96 chars, 51KB)
  ✓ ch03-p30-s03  (32 chars, 21KB)
  ✓ ch03-p32-s01  (39 chars, 26KB)
  ✓ ch03-p33-s01  (24 chars, 18KB)
  ✓ ch03-p31-s01  (69 chars, 59KB)
  ✓ ch03-p34-s00  (29 chars, 20KB)
  ✓ ch03-p33-s00  (18 chars, 16KB)
  ✓ ch04-p00-s01  (81 chars, 45KB)
  ✓ ch04-p00-s00  (40 chars, 26KB)
  ✓ ch03-p32-s02  (33 chars, 22KB)
  ✓ ch04-p01-s00  (31 chars, 21KB)
  ✓ ch04-p01-s01  (40 chars, 24KB)
  ✓ ch03-p33-s02  (47 chars, 27KB)
  ✓ ch04-p02-s00  (40 chars, 25KB)
  ✓ ch04-p03-s00  (56 chars, 33KB)
  ✓ ch04-p03-s01  (67 chars, 51KB)
  ✓ ch04-p03-s02  (28 chars, 19KB)
  ✓ ch04-p04-s02  (17 chars, 15KB)
  ✓ ch04-p05-s00  (35 chars, 23KB)
  ✓ ch04-p04-s00  (35 chars, 23KB)
  ✓ ch04-p05-s01  (36 chars, 25KB)
  ✓ ch04-p04-s01  (52 chars, 32KB)
  ✓ ch04-p02-s01  (63 chars, 36KB)
  ✓ ch04-p07-s01  (67 chars, 37KB)
  ✓ ch04-p06-s00  (31 chars, 20KB)
  ✓ ch04-p07-s02  (27 chars, 20KB)
  ✓ ch04-p06-s01  (51 chars, 29KB)
  ✓ ch04-p08-s01  (86 chars, 46KB)
  ✓ ch04-p08-s00  (104 chars, 69KB)
  ✓ ch04-p07-s00  (26 chars, 18KB)
  ✓ ch04-p09-s00  (25 chars, 19KB)
  ✓ ch04-p10-s02  (106 chars, 54KB)
  ✓ ch04-p10-s01  (88 chars, 47KB)
  ✓ ch04-p11-s00  (32 chars, 22KB)
  ✓ ch04-p10-s00  (34 chars, 23KB)
  ✓ ch04-p11-s02  (43 chars, 26KB)
  ✓ ch04-p10-s03  (97 chars, 51KB)
  ✓ ch04-p12-s00  (22 chars, 18KB)
